RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Lidge, B",WSH,P,11,0,9.1,1,0,1,0,0,-,-,-,-,-,1,0.09
1," Lilly, T",LAD,P,8,8,48.2,4,0,4,0,0,-,-,-,-,-,1,0.5
1," Lin, C",HOU,CF,9,3,40,6,6,0,0,0,-,-,-,-,-,1,0.67
1," Lincecum, T",SF,P,33,33,186,37,15,22,0,0,-,-,-,-,-,1,1.12
1," Lincoln, B",TOR,P,52,5,88,22,8,14,0,1,-,-,-,-,-,1,0.42
1," Lindstrom, M",ARI,P,46,0,47,7,3,4,0,1,-,-,-,-,-,1,0.15
1," Liriano, F",CWS,P,34,28,156.2,29,6,23,0,2,-,-,-,-,-,1,0.85
1," Locke, J",PIT,P,8,6,34.1,4,2,2,0,1,-,-,-,-,-,1,0.5
1," Logan, B",NYY,P,80,0,55.1,10,2,8,0,0,-,-,-,-,-,1,0.13
1," Lohse, K",STL,P,33,33,211,43,17,26,0,2,-,-,-,-,-,1,1.3
1," Lopez, J",SF,P,70,0,36,13,5,8,0,0,-,-,-,-,-,1,0.19
1," Lopez, R",CHC,P,4,0,6.1,1,1,0,0,0,-,-,-,-,-,1,0.25
1," Loup, A",TOR,P,33,0,30.2,9,2,7,0,0,-,-,-,-,-,1,0.27
1," Lowe, M",TEX,P,36,0,39.1,4,2,2,0,1,-,-,-,-,-,1,0.11
1," Luetge, L",SEA,P,63,0,40.2,2,1,1,0,1,-,-,-,-,-,1,0.03
1," Luna, H",PIT,1B,13,11,101.1,85,78,7,0,7,-,-,-,-,-,1,6.54
1," Lyon, B",TOR,P,67,0,61,8,3,5,0,0,-,-,-,-,-,1,0.12
1," Machi, J",SF,P,8,0,6.2,2,0,2,0,0,-,-,-,-,-,1,0.25
1," Mahoney, J",BAL,1B,2,1,12,10,10,0,0,0,-,-,-,-,-,1,5
1," Maier, M",KC,CF,28,15,155,38,38,0,0,0,-,-,-,-,-,1,1.36
1," Maine, S",CLE,P,30,0,26.2,1,0,1,0,0,-,-,-,-,-,1,0.03
1," Maldonado, C",WSH,C,4,3,28,24,24,0,0,0,2,0,1,0,1,1,6
1," Maloney, M",MIN,P,9,0,11,3,0,3,0,0,-,-,-,-,-,1,0.33
1," Manship, J",MIN,P,12,0,21.2,4,1,3,0,1,-,-,-,-,-,1,0.33
1," Marinez, J",CWS,P,2,0,2.2,1,0,1,0,0,-,-,-,-,-,1,0.5
1," Maronde, N",LAA,P,12,0,6,1,0,1,0,0,-,-,-,-,-,1,0.08
1," Marshall, S",CIN,P,73,0,61,15,4,11,0,0,-,-,-,-,-,1,0.21
1," Marte, L",DET,P,13,0,22.1,4,1,3,0,0,-,-,-,-,-,1,0.31
1," Marte, V",STL,P,48,0,40.1,7,2,5,0,0,-,-,-,-,-,1,0.15
1," Martin, L",TEX,CF,19,13,119,40,39,1,0,1,-,-,-,-,-,1,2.11
1," Martinez, C",ATL,P,54,0,73.2,15,8,7,0,1,-,-,-,-,-,1,0.28
1," Martinez, F",HOU,LF,37,35,275.2,50,49,1,0,0,-,-,-,-,-,1,1.35
1," Martinez, L",TEX,C,10,6,57,55,54,1,0,0,6,0,1,0,3,1,5.5
1," Matsui, H",TB,DH,25,13,96.1,14,14,0,0,0,-,-,-,-,-,1,0.56
1," Matsuzaka, D",BOS,P,11,11,45.2,8,6,2,0,0,-,-,-,-,-,1,0.73
1," Mattheus, R",WSH,P,66,0,66.1,14,7,7,0,0,-,-,-,-,-,1,0.21
1," Matusz, B",BAL,P,34,16,98,12,2,10,0,0,-,-,-,-,-,1,0.35
1," Mazzaro, V",KC,P,18,6,44,9,3,6,0,0,-,-,-,-,-,1,0.5
1," McCarthy, B",OAK,P,18,18,111,21,7,14,0,1,-,-,-,-,-,1,1.17
1," McClellan, K",STL,P,16,0,18.2,2,0,2,0,0,-,-,-,-,-,1,0.13
1," McClendon, M",MIL,P,9,0,14,5,0,5,0,0,-,-,-,-,-,1,0.56
1," McCoy, M",TOR,2B,29,12,117.2,41,16,25,0,3,-,-,-,-,-,1,1.41
1," McGee, J",TB,P,69,0,55.1,9,2,7,0,1,-,-,-,-,-,1,0.13
